parl25,gss_code,constituency-name,parl25-deprivation-score,label,desc,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
UKPARL.2025.BTW,N05000004,Belfast West,72.52446063525306,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.0401582827605835,0.9598417172394164,1,1
UKPARL.2025.FOY,N05000008,Foyle,63.659910580249026,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.2091177428749124,0.7908822571250876,1,1
UKPARL.2025.BTN,N05000002,Belfast North,60.522360315715474,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.2414629579191066,0.7585370420808933,1,1
UKPARL.2025.WTY,N05000018,West Tyrone,53.56612025662986,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.0585844224494631,0.9414155775505368,1,1
UKPARL.2025.NAR,N05000011,Newry and Armagh,50.73512991373751,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.1802367349731449,0.819763265026855,1,1
UKPARL.2025.BPS,E14001105,Blackpool South,50.48049289655109,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0254458844654503,0.3107747271661565,0.6637793883683931,1,1
UKPARL.2025.LRV,E14001338,Liverpool Riverside,49.29088149349514,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0613225023943179,0.2626759037239509,0.6760015938817312,1,1
UKPARL.2025.BLA,E14001096,Birmingham Ladywood,48.61403681127604,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0193017562946844,0.1632780929437364,0.8174201507615791,1,1
UKPARL.2025.KNW,E14001317,Knowsley,47.98310505642051,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0482992225600424,0.2289366825147427,0.7227640949252148,1,1
UKPARL.2025.ELD,N05000006,East Londonderry,47.38041885025132,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.2090601821425218,0.7909398178574781,1,1
UKPARL.2025.LWL,E14001339,Liverpool Walton,47.35001208407566,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0659540391225323,0.1707336824488473,0.7633122784286203,1,1
UKPARL.2025.BSN,E14001095,Birmingham Hodge Hill and Solihull North,45.56298935604408,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0606248636264455,0.1642551276456469,0.7751200087279075,1,1
UKPARL.2025.LWD,E14001341,Liverpool West Derby,45.320432120486366,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0260501105379513,0.3325073691967575,0.6414425202652911,1,1
UKPARL.2025.FST,N05000007,Fermanagh and South Tyrone,45.129838486129366,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.1636686051463926,0.8363313948536073,1,1
UKPARL.2025.SDW,N05000015,South Down,44.98719260776701,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.1842789803093124,0.8157210196906876,1,1
UKPARL.2025.BDE,E14001118,Bradford East,44.63252375540858,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0469884875734967,0.2414856747580696,0.7115258376684337,1,1
UKPARL.2025.MTE,E14001367,Middlesbrough and Thornaby East,44.556291919951974,1st IMD quintile,Constituencies in most deprived quintile (20%),0.1536621040083193,0.2286542835160933,0.6176836124755873,1,1
UKPARL.2025.LSO,E14001323,Leeds South,44.0883610070423,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0651967741284564,0.2792706140321376,0.6555326118394059,1,1
UKPARL.2025.BMS,E14001103,Blackley and Middleton South,43.640897763855506,1st IMD quintile,Constituencies in most deprived quintile (20%),0.059257395243095,0.2683373393611759,0.672405265395729,1,1
UKPARL.2025.UBN,N05000017,Upper Bann,43.229367888715814,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.3907060401435803,0.6092939598564197,1,1
UKPARL.2025.SBH,E14001466,Sheffield Brightside and Hillsborough,42.5775983914671,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0702538882014816,0.2270897614609927,0.7026563503375256,1,1
UKPARL.2025.BER,E14001093,Birmingham Erdington,42.369586033506955,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0091471434906461,0.3489218095860861,0.6419310469232677,1,1
UKPARL.2025.BDW,E14001120,Bradford West,42.20331413722772,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0242503865109493,0.3660204251983364,0.6097291882907143,1,1
UKPARL.2025.BPB,E14001098,Birmingham Perry Barr,42.13629881351289,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0120404908923591,0.2915850034772713,0.6963745056303696,1,1
