Decile,Conservative,Liberal Democrat,Labour,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,UKIP,Other
1,13.479948034820053,4.184106819282512,41.19041647426641,2.941137396531602,2.797134105027796,0.0,5.518220623348662,6.631075805635412,3.3979462723196043,3.7596654711347273,1.7165659341433535,12.31564297650818,2.0681400869816917
2,22.47017340300093,3.8803018259490454,47.145122828695314,3.64101095870801,0.0,0.8761692365069259,1.7776915513597613,0.43390305555450914,0.5803330934899473,0.8116752244293673,0.7126362304154062,15.73977871622258,1.9312038756682024
3,26.33957846836152,5.139031160133466,42.626050560821795,3.820656833301091,7.281962049960375,0.546991090912999,0.0,0.0,0.0,0.0,0.0,13.321662686595564,0.9240671499131925
4,30.496221934584227,6.1573088218042855,38.999834972671074,3.6886590435970392,6.409853655885544,1.0702254246802678,0.0,0.0,0.0,0.0,0.0,12.541546789887072,0.6363493568904874
5,35.6416093578472,7.972789088678275,32.310842904624714,4.053060748504883,4.816914055105664,0.27155411211220537,0.0,0.0,0.0,0.0,0.0,14.097061103969876,0.8361686291571813
6,38.18518686310869,6.456498068333955,29.345701828248096,3.0180231549972585,8.585845488587314,2.334339913860036,0.0,0.0,0.0,0.0,0.0,11.517291262120755,0.5571134207438906
7,42.85165692679588,8.426701113151534,24.941690011175826,4.209335013809775,6.466316211838497,0.6297786497437436,0.0,0.0,0.0,0.0,0.0,12.015519380455599,0.4590026930291408
8,44.39340268073058,9.226829179375631,24.79013500868868,3.8283651918192754,5.255070420823662,0.14965184528077188,0.0,0.0,0.0,0.0,0.0,11.675456611294067,0.6810890619873377
9,50.507728732149744,11.041788873984318,17.865642115379977,4.0540434533630725,2.4802601588600703,0.06685266874633378,0.0,0.0,0.0,0.0,0.0,12.948499039918975,1.035184957597511
10,51.74539963200492,13.50718323417624,15.097877184934994,4.196266333146071,2.7422677224334406,0.0,0.0,0.0,0.0,0.0,0.0,11.02464811114757,1.6863577821567628
