Decile,Conservative,Liberal Democrat,Labour,Reform UK,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
1,9.198275862068966,3.5844827586206898,34.27413793103448,12.236206896551725,6.691379310344828,1.1293103448275863,0.0,5.720689655172414,7.982758620689655,2.5396551724137932,2.2327586206896552,2.9258620689655177,10.303448275862069
2,14.668852459016392,4.5967213114754095,42.31311475409836,16.85081967213115,8.163934426229508,0.5639344262295082,0.759016393442623,1.118032786885246,0.3065573770491803,0.9245901639344262,1.3508196721311476,1.6442622950819672,1.5639344262295083
3,16.05483870967742,6.180645161290323,44.059677419354834,15.096774193548388,8.238709677419354,3.3225806451612905,0.55,0.0,0.0,0.0,0.0,0.0,0.0
4,19.97142857142857,6.866666666666667,41.74126984126984,16.512698412698413,7.6682539682539685,3.434920634920635,1.1492063492063493,0.0,0.0,0.0,0.0,0.0,0.0
5,23.1078125,9.30625,39.00625,15.840625,6.56875,1.4171874999999998,0.76875,0.0,0.0,0.0,0.0,0.0,0.0
6,23.70151515151515,9.387878787878789,36.130303030303025,15.460606060606061,6.590909090909091,4.654545454545454,2.3863636363636362,0.0,0.0,0.0,0.0,0.0,0.0
7,27.11212121212121,9.875757575757575,31.483333333333334,14.210606060606061,7.687878787878788,2.2742424242424244,1.5954545454545455,0.0,0.0,0.0,0.0,0.0,0.0
8,27.879104477611943,12.567164179104477,33.84776119402985,13.2955223880597,6.247761194029851,4.4358208955223875,0.03731343283582089,0.0,0.0,0.0,0.0,0.0,0.0
9,32.93142857142857,18.810000000000002,25.47714285714286,14.17,5.7214285714285715,0.9514285714285714,0.14,0.0,0.0,0.0,0.0,0.0,0.0
10,30.991176470588236,29.96029411764706,20.13088235294118,11.144117647058822,5.1000000000000005,1.4882352941176469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
