Decile,Conservative,Liberal Democrat,Labour,Reform UK,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
1,9.198160132477838,3.5822479630864055,34.273064250701545,12.239948830438225,6.6890313212924815,1.1284101612543396,0.0,5.721713567050918,7.9846907847656725,2.5412023765695473,2.2321056601402103,2.9287825562486343,11.480642395974185
2,14.427777014357574,4.599739503039001,42.504128905603885,16.994335970651996,8.09424758066659,0.5637902959313066,0.760217764368673,1.1177401216935139,0.3069472313619532,0.9244975407288967,1.3515640496209222,1.6450349111170175,6.709979110858671
3,16.058560370637306,6.181376210856255,44.05582717500643,15.101051808787611,8.238524746733694,3.3227510356111325,0.5504209203368148,0.0,0.0,0.0,0.0,0.0,6.4914877320307545
4,19.96561872549563,6.807410111768622,41.74471657281139,16.518826917053488,7.669017230841415,3.434923004166153,1.1493364472562602,0.0,0.0,0.0,0.0,0.0,2.7101509906070422
5,23.10790323451897,9.309061468702774,39.01146976545404,15.835505033454652,6.57435520134568,1.4165827764511847,0.7690669884244123,0.0,0.0,0.0,0.0,0.0,3.9760555316482873
6,23.705112676347937,9.391796898104616,36.126494865425,15.460769453951222,6.587311421815255,4.654832979570179,2.387202957215674,0.0,0.0,0.0,0.0,0.0,1.6864787475701122
7,27.188757259557814,10.445550830285534,31.682828852611244,14.305573290271795,7.754863151443653,2.7794961142219576,1.5954356225119752,0.0,0.0,0.0,0.0,0.0,4.247494879096028
8,27.880405737713904,12.568940532657285,33.84870506181246,13.296264662284045,6.243077945386649,4.434095553554376,0.03736920777279522,0.0,0.0,0.0,0.0,0.0,1.6911412988184789
9,32.93229798114576,18.80772931110772,25.47514036621781,14.17898218744562,5.7232270493751445,0.952166842216314,0.14050091631032377,0.0,0.0,0.0,0.0,0.0,1.7899553461813067
10,30.999554517401208,29.95672030208536,20.135104133208443,11.14257411662838,5.099517822440613,1.48888495516956,0.0,0.0,0.0,0.0,0.0,0.0,1.1776441530664377
