Decile,Conservative,Liberal Democrat,Labour,Reform UK,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
1,-12.61,0.04,-8.52,7.53,5.02,-1.13,0.00,-0.95,1.90,-0.49,-0.06,-0.33,8.42
2,-16.54,-0.24,-4.07,9.38,5.97,0.56,0.07,-1.08,0.09,-0.11,0.37,-0.03,0.46
3,-20.11,-0.49,0.61,11.94,5.87,-2.82,0.19,0.00,0.00,0.00,0.00,0.00,-1.69
4,-19.84,-0.60,1.71,13.14,5.25,-1.60,0.10,0.00,0.00,0.00,0.00,0.00,-0.82
5,-21.90,-0.42,3.74,13.81,3.59,-2.65,0.56,0.00,0.00,0.00,0.00,0.00,-0.71
6,-23.08,0.83,5.36,14.43,4.55,-2.47,-0.64,0.00,0.00,0.00,0.00,0.00,-0.67
7,-21.24,-1.87,4.60,13.29,4.31,-3.63,0.70,0.00,0.00,0.00,0.00,0.00,-1.92
8,-22.32,-0.46,5.94,12.81,3.55,-0.52,-0.08,0.00,0.00,0.00,0.00,0.00,-0.60
9,-21.55,1.25,5.37,13.97,2.21,-1.70,0.09,0.00,0.00,0.00,0.00,0.00,-1.44
10,-21.40,4.92,4.53,11.03,2.70,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,-1.85
