Decile,Conservative,Liberal Democrat,Labour,Reform UK,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
1,-11.72,-0.00,-10.35,7.25,4.69,-0.95,0.00,-0.57,2.52,-0.52,0.12,-0.10,9.63
2,-16.70,-0.37,-4.96,9.83,5.88,0.52,0.19,-0.91,0.12,-0.09,0.57,0.25,5.68
3,-19.53,-0.63,-0.49,11.95,5.88,-2.44,0.17,0.00,0.00,0.00,0.00,0.00,5.08
4,-19.36,-0.87,1.36,13.31,5.11,-1.74,0.30,0.00,0.00,0.00,0.00,0.00,1.88
5,-22.15,-0.07,3.63,13.87,3.28,-2.27,0.56,0.00,0.00,0.00,0.00,0.00,3.15
6,-23.32,0.91,4.93,14.64,4.41,-2.52,-0.02,0.00,0.00,0.00,0.00,0.00,0.98
7,-21.17,-1.20,4.62,13.50,4.41,-3.16,0.91,0.00,0.00,0.00,0.00,0.00,2.09
8,-22.28,-0.52,5.88,12.85,3.49,-0.42,-0.06,0.00,0.00,0.00,0.00,0.00,1.06
9,-21.82,1.33,5.37,14.09,2.10,-1.36,0.09,0.00,0.00,0.00,0.00,0.00,0.19
10,-21.44,4.81,4.63,10.99,2.72,-1.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.70
